"from","to","database","source"
"CALM2","PDE1C","nichenet_verschueren","nichenet_verschueren"
"CALM3","CNGA2","nichenet_verschueren","nichenet_verschueren"
"CALM3","PDE1C","nichenet_verschueren","nichenet_verschueren"
"CALM3","PDE1B","nichenet_verschueren","nichenet_verschueren"
"CALM3","KCNH1","nichenet_verschueren","nichenet_verschueren"
"CALM3","MYLK","nichenet_verschueren","nichenet_verschueren"
"CALM3","MYLK2","nichenet_verschueren","nichenet_verschueren"
"CALM3","PDE1A","nichenet_verschueren","nichenet_verschueren"
"CALR","TAP1","omnipath","omnipath"
"CALR","TAP2","omnipath","omnipath"
"CALR","LRP1","omnipath","omnipath"
"CALR","ITGAV","omnipath","omnipath"
"CALR","ITGA3","omnipath","omnipath"
"CALR","MPL","omnipath","omnipath"
"CALR","TSHR","omnipath","omnipath"
"CALR","ITGA2B","omnipath","omnipath"
"CALR","SCARF1","omnipath","omnipath"
"CALR","MTNR1A","omnipath","omnipath"
"CAMP","FPR2","omnipath","omnipath"
"CAMP","P2RX7","omnipath","omnipath"
"CAMP","IGF1R","omnipath","omnipath"
"CAMP","EGFR","omnipath","omnipath"
"CCK","CCKAR","omnipath","omnipath"
"CCK","CCKBR","omnipath","omnipath"
"CCL1","ACKR2","nichenet_verschueren","nichenet_verschueren"
"CCL1","CCR2","nichenet_verschueren","nichenet_verschueren"
"CCL1","CCR3","nichenet_verschueren","nichenet_verschueren"
"CCL1","CCR5","nichenet_verschueren","nichenet_verschueren"
"CCL1","CCR8","omnipath","omnipath"
"CCL1","ACKR1","omnipath","omnipath"
"CCL1","CCR1","omnipath","omnipath"
"CCL11","CCR2","omnipath","omnipath"
"CCL11","CCR3","omnipath","omnipath"
"CCL11","CCR5","omnipath","omnipath"
"CCL11","CXCR3","omnipath","omnipath"
"CCL11","ACKR1","omnipath","omnipath"
"CCL11","ACKR2","omnipath","omnipath"
"CCL11","DPP4","omnipath","omnipath"
"CCL11","ACKR4","omnipath","omnipath"
"CCL13","CCR1","omnipath","omnipath"
"CCL13","CCR2","omnipath","omnipath"
"CCL13","CCR3","omnipath","omnipath"
"CCL13","CCR5","omnipath","omnipath"
"CCL13","CXCR3","omnipath","omnipath"
"CCL13","ACKR1","omnipath","omnipath"
"CCL13","ACKR2","omnipath","omnipath"
"CCL13","ACKR4","omnipath","omnipath"
"CCL14","CCR1","omnipath","omnipath"
"CCL14","CCR5","omnipath","omnipath"
"CCL14","ACKR1","omnipath","omnipath"
"CCL14","ACKR2","omnipath","omnipath"
"CCL14","CCR3","omnipath","omnipath"
"CCL15","CCR1","omnipath","omnipath"
"CCL15","CCR3","omnipath","omnipath"
"CCL16","CCR2","omnipath","omnipath"
"CCL16","CCR5","omnipath","omnipath"
"CCL16","HRH4","omnipath","omnipath"
"CCL16","CCR1","omnipath","omnipath"
"CCL16","CCR8","omnipath","omnipath"
"CCL16","ACKR1","omnipath","omnipath"
"CCL17","CCR4","omnipath","omnipath"
"CCL17","ACKR1","omnipath","omnipath"
"CCL17","ACKR2","omnipath","omnipath"
"CCL17","CCR8","omnipath","omnipath"
"CCL18","CCR5","nichenet_verschueren","nichenet_verschueren"
"CCL18","CCR8","omnipath","omnipath"
"CCL18","CCR3","omnipath","omnipath"
"CCL18","CCR1","omnipath","omnipath"
"CCL18","ACKR1","omnipath","omnipath"
"CCL19","ACKR4","omnipath","omnipath"
"CCL19","CCR7","omnipath","omnipath"
"CCL19","CCRL2","omnipath","omnipath"
"CCL19","CXCR3","omnipath","omnipath"
"CCL19","CCR10","omnipath","omnipath"
"CCL19","ACKR2","omnipath","omnipath"
"CCL2","CCR2","omnipath","omnipath"
"CCL2","CCR3","omnipath","omnipath"
"CCL2","CCR5","omnipath","omnipath"
"CCL2","CCR4","omnipath","omnipath"
"CCL2","ACKR1","omnipath","omnipath"
"CCL2","ACKR2","omnipath","omnipath"
"CCL2","CCR1","omnipath","omnipath"
