"from","to","database","source"
"Calm1","Mylk","nichenet_verschueren","nichenet_verschueren"
"Calm1","Mylk2","nichenet_verschueren","nichenet_verschueren"
"Calm1","Pde1a","nichenet_verschueren","nichenet_verschueren"
"Calm1","Pde1b","nichenet_verschueren","nichenet_verschueren"
"Calm1","Pde1c","nichenet_verschueren","nichenet_verschueren"
"Calm2","Cnga2","nichenet_verschueren","nichenet_verschueren"
"Calm2","Kcnh1","nichenet_verschueren","nichenet_verschueren"
"Calm2","Mylk","nichenet_verschueren","nichenet_verschueren"
"Calm2","Mylk2","nichenet_verschueren","nichenet_verschueren"
"Calm2","Pde1a","nichenet_verschueren","nichenet_verschueren"
"Calm2","Pde1b","nichenet_verschueren","nichenet_verschueren"
"Calm2","Pde1c","nichenet_verschueren","nichenet_verschueren"
"Calm3","Cnga2","nichenet_verschueren","nichenet_verschueren"
"Calm3","Kcnh1","nichenet_verschueren","nichenet_verschueren"
"Calm3","Mylk","nichenet_verschueren","nichenet_verschueren"
"Calm3","Mylk2","nichenet_verschueren","nichenet_verschueren"
"Calm3","Pde1a","nichenet_verschueren","nichenet_verschueren"
"Calm3","Pde1b","nichenet_verschueren","nichenet_verschueren"
"Calm3","Pde1c","nichenet_verschueren","nichenet_verschueren"
"Calr","Itga2b","omnipath","omnipath"
"Calr","Itga3","omnipath","omnipath"
"Calr","Itgav","omnipath","omnipath"
"Calr","Lrp1","omnipath","omnipath"
"Calr","Mpl","omnipath","omnipath"
"Calr","Mtnr1a","omnipath","omnipath"
